수업 개설 년도, 수업 수강 가능 학년, 수업 수강 학기,교과목명,전공 및 교양 구분,필수 여부,학수번호,학점

2024,4,1,컴퓨터보안,전공,선택,CSE4313,3
2024,4,1,마이크로프로세서응용,전공,선택,CSE3302,3
2024,3,2,리눅스프로그래밍,전공,선택,CSE3313,3
2024,3,2,임베디드소프트웨어,전공,선택,CSE3304,3
2024,3,1,무선통신 및 네트워킹,전공,선택,CSE3307,3
2024,4,1,컴파일러,전공,선택,CSE4312,3
2024,3,2,컴퓨터그래픽스,전공,선택,CSE3204,3
2024,4,2,전자상거래,전공,선택,CSE4301,3
2024,4,1,게임프로그래밍,전공,선택,CSE4303,3
2024,4,1,멀티미디어컴퓨팅,전공,선택,CSE4307,3
2024,2,1,인터넷프로그래밍,전공,선택,CSE2104,3
2024,2,1,자바기반응용프로그래밍,전공,선택,CSE2107,3
2024,2,2,오픈소스응용프로그래밍,전공,선택,CSE3210,3
2024,3,1,데이터베이스,전공,선택,CSE3207,3
2024,2,2,인공지능,전공,선택,CSE4302,3
2024,3,2,바이오빅데이터,전공,선택,CSE4566,3
2024,4,1,기계학습,전공,선택,CSE4315,3
2024,4,2,클라우드컴퓨팅,전공,선택,CSE3211,3
2024,1,1,크로스오버 1,교양,필수,GEB1112,2
2024,1,1,크로스오버 3,교양,필수,GEB1114,2
2024,1,2,크로스오버 3,교양,필수,GEB1114,2
2024,1,1,문제해결(PBL)을 위한 글쓰기,교양,필수,GEB1126,3
2024,1,2,의사소통영어,교양,필수,GEB1107,3
2024,1,2,미래사회와 소프트웨어-IT계열,교양,필수,GEB1143,3
2024,1,1,프로네시스 세미나,교양,필수,GEB1116,2
2024,3,1,커리어 디자인 2,교양,필수,GEB1151,1
2024,1,1,일반수학1,교양,필수,MTH1001,3
2024,1,2,일반수학2,교양,필수,MTH1002,3
2024,2,1,통계학,교양,필수,ACE2104,3
2024,1,1,객체지향프로그래밍1,전공,필수,CSE1101,3ss
2024,1,2,객체지향프로그래밍2,전공,필수,CSE1103,3
2024,1,1,컴퓨터공학입문,전공,필수,CSE1112,2
2024,1,2,이산구조,전공,필수,CSE1312,3
2024,1,2,논리회로,전공,필수,CSE2101,3
2024,2,1,자료구조,전공,필수,CSE2112,4
2024,4,2,컴퓨터공학 종합설계,전공,필수,CSE4205,3
2023,1,1,객체지향프로그래밍1,전공,필수,CSE1101,3
2023,1,1,컴퓨터공학입문,전공,필수,CSE1112,2
2023,1,2,객체지향프로그래밍2,전공,필수,CSE1103,3
2023,1,2,창의적컴퓨터공학설계,전공,선택,CSE1105,3
2023,1,2,이산구조,전공,필수,CSE1312,3
2023,1,2,논리회로,전공,필수,CSE2101,3
2023,2,1,자료구조,전공,필수,CSE2112,4
2023,2,2,컴퓨터기반선형대수,전공,선택,CSE2105,3
2023,2,2,오픈소스SW개론,전공,선택,CSE2113,3
2023,3,1,컴퓨터구조론,전공,선택,CSE3203,3
2023,3,1,시스템분석,전공,선택,CSE3308,3
2023,3,2,문제해결기법,전공,선택,CSE3309,4
2023,4,2,소프트웨어공학,전공,선택,CSE4201,3
2023,3,2,컴퓨터 네트워크,전공,선택,CSE3212,3
2023,4,2,컴퓨터공학종합설계,전공,필수,CSE4205,3
2023,3,1,알고리즘,전공,선택,CSE4204,3
2023,2,2,시스템프로그래밍,전공,선택,CSE3209,3
2023,3,1,오퍼레이팅 시스템,전공,선택,CSE3206,3
2023,4,1,컴퓨터보안,전공,선택,CSE4313,3
2023,4,1,마이크로프로세서응용,전공,선택,CSE3302,3
2023,3,2,리눅스프로그래밍,전공,선택,CSE3313,3
2023,3,2,임베디드소프트웨어,전공,선택,CSE3304,3
2023,3,1,무선통신 및 네트워킹,전공,선택,CSE3307,3
2023,4,1,컴파일러,전공,선택,CSE4312,3
2023,3,2,컴퓨터그래픽스,전공,선택,CSE3204,3
2023,4,2,전자상거래,전공,선택,CSE4301,3
2023,4,1,게임프로그래밍,전공,선택,CSE4303,3
2023,4,1,멀티미디어컴퓨팅,전공,선택,CSE4307,3
2023,2,1,인터넷프로그래밍,전공,선택,CSE2104,3
2023,2,1,자바기반응용프로그래밍,전공,선택,CSE2107,3
2023,3,1,데이터베이스,전공,선택,CSE3207,3
2023,4,1,인공지능,전공,선택,CSE4302,3
2023,3,2,바이오빅데이터,전공,선택,CSE3315,3
2023,4,1,기계학습,전공,선택,CSE4315,3
2023,1,1,크로스오버 1,교양,필수,GEB1112,2
2023,1,1,크로스오버 3,교양,필수,GEB1114,2
2023,1,2,크로스오버 3,교양,필수,GEB1114,2
2023,1,1,문제해결(PBL)을 위한 글쓰기,교양,필수,GEB1126,3
2023,1,2,의사소통영어,교양,필수,GEB1107,3
2023,1,2,미래사회와 소프트웨어-IT계열,교양,필수,GEB1143,3
2023,1,1,프로네시스 세미나,교양,필수,GEB1116,2
2023,3,1,커리어 디자인 2,교양,필수,GEB1151,1
2023,1,1,일반수학1,교양,필수,MTH1001,3
2023,1,2,일반수학2,교양,필수,MTH1002,3
2023,2,1,통계학,교양,필수,ACE2104,3
2023,1,1,객체지향프로그래밍1,전공,필수,CSE1101,3
2023,1,2,객체지향프로그래밍2,전공,필수,CSE1103,3
2023,1,1,컴퓨터공학입문,전공,필수,CSE1112,2
2023,1,2,이산구조,전공,필수,CSE1312,3
2023,1,2,논리회로,전공,필수,CSE2101,3
2023,2,1,자료구조,전공,필수,CSE2112,4
2023,4,2,컴퓨터공학 종합설계,전공,필수,CSE4205,3
2022,1,1,객체지향프로그래밍1,전공,필수,CSE1101,3
2022,1,1,컴퓨터공학입문,전공,필수,CSE1112,2
2022,1,2,객체지향프로그래밍2,전공,필수,CSE1103,3
2022,1,2,창의적컴퓨터공학설계,전공,선택,CSE1105,3
2022,1,2,논리회로,전공,필수,CSE2101,3
2022,2,1,자료구조,전공,필수,CSE2112,4
2022,2,1,인터넷프로그래밍,전공,선택,CSE2104,3
2022,2,2,컴퓨터기반선형대수,전공,선택,CSE2105,3
2022,2,2,오픈소스SW개론,전공,선택,CSE2113,3
2022,2,1,자바기반응용프로그래밍,전공,선택,CSE2107,3
2022,2,2,시스템프로그래밍,전공,선택,CSE3209,3
2022,3,1,컴퓨터구조론,전공,선택,CSE3203,3
2022,3,1,오퍼레이팅 시스템,전공,선택,CSE3206,3
2022,3,1,시스템분석,전공,선택,CSE3308,3
2022,3,2,문제해결기법,전공,선택,CSE3309,4
2022,4,2,소프트웨어공학,전공,선택,CSE4201,3
2022,3,2,컴퓨터 네트워크,전공,선택,CSE3212,3
2022,3,2,알고리즘,전공,선택,CSE4204,3
2022,4,2,컴퓨터공학종합설계,전공,필수,CSE4205,3
2022,4,1,컴퓨터보안,전공,선택,CSE4308,3
2022,4,1,마이크로프로세서응용,전공,선택,CSE3302,3
2022,3,2,리눅스프로그래밍,전공,선택,CSE3313,3
2022,3,2,임베디드소프트웨어,전공,선택,CSE3304,3
2022,3,1,무선통신 및 네트워킹,전공,선택,CSE3307,3
2022,4,1,컴파일러,전공,선택,CSE4312,3
2022,3,2,컴퓨터그래픽스,전공,선택,CSE3204,3
2022,4,2,전자상거래,전공,선택,CSE4301,3
2022,4,1,게임프로그래밍,전공,선택,CSE4303,3
2022,4,1,멀티미디어컴퓨팅,전공,선택,CSE4307,3
2022,3,1,데이터베이스,전공,선택,CSE3207,3
2022,4,1,인공지능,전공,선택,CSE4302,3
2022,3,2,바이오빅데이터,전공,선택,CSE3315,3
2022,4,1,기계학습,전공,선택,CSE4315,3
2022,1,1,크로스오버 1,교양,필수,GEB1112,2
2022,1,1,크로스오버 3,교양,필수,GEB1114,2
2022,1,2,크로스오버 3,교양,필수,GEB1114,2
2022,1,1,문제해결(PBL)을 위한 글쓰기,교양,필수,GEB1126,3
2022,1,2,의사소통영어,교양,필수,GEB1107,3
2022,1,2,미래사회와 소프트웨어,교양,필수,GEB1142,3
2022,1,1,프로네시스 세미나,교양,필수,GEB1116,2
2022,1,1,일반수학1,교양,필수,MTH1001,3
2022,1,2,일반수학2,교양,필수,MTH1002,3
2022,2,1,통계학,교양,필수,ACE2104,3
2022,1,2,이산수학,교양,필수,ACE1312,3
2022,1,1,객체지향프로그래밍1,전공,필수,CSE1101,3
2022,1,2,객체지향프로그래밍2,전공,필수,CSE1103,3
2022,1,1,컴퓨터공학입문,전공,필수,CSE1112,2
2022,1,2,논리회로,전공,필수,CSE2101,3
2022,2,1,자료구조,전공,필수,CSE2102,4
2022,4,2,컴퓨터공학 종합설계,전공,필수,CSE4205,3
2021,1,1,객체지향프로그래밍1,전공,필수,CSE1101,3
2021,1,1,컴퓨터공학입문,전공,필수,CSE1112,2
2021,1,2,객체지향프로그래밍2,전공,필수,CSE1103,3
2021,1,2,창의적컴퓨터공학설계,전공,선택,CSE1105,3
2021,1,2,논리회로,전공,필수,CSE2101,3
2021,2,1,자료구조,전공,필수,CSE2112,4
2021,2,1,인터넷프로그래밍,전공,선택,CSE2104,3
2021,2,2,컴퓨터기반선형대수,전공,선택,CSE2105,3
2021,2,2,오픈소스SW개론,전공,선택,CSE2113,3
2021,2,1,자바기반응용프로그래밍,전공,선택,CSE2107,3
2021,2,2,시스템프로그래밍,전공,선택,CSE3209,3
2021,3,1,컴퓨터구조론,전공,선택,CSE3203,3
2021,3,1,오퍼레이팅 시스템,전공,선택,CSE3206,3
2021,3,1,시스템분석,전공,선택,CSE3308,3
2021,3,2,문제해결기법,전공,선택,CSE3309,4
2021,4,2,소프트웨어공학,전공,선택,CSE4201,3
2021,3,2,컴퓨터 네트워크,전공,선택,CSE3212,3
2021,3,2,알고리즘,전공,선택,CSE4204,3
2021,4,2,컴퓨터공학종합설계,전공,필수,CSE4205,3
2021,4,1,컴퓨터보안,전공,선택,CSE4308,3
2021,4,1,마이크로프로세서응용,전공,선택,CSE3302,3
2021,3,2,리눅스프로그래밍,전공,선택,CSE3313,3
2021,3,2,임베디드소프트웨어,전공,선택,CSE3304,3
2021,3,1,무선통신 및 네트워킹,전공,선택,CSE3307,3
2021,4,1,컴파일러,전공,선택,CSE4312,3
2021,3,2,컴퓨터그래픽스,전공,선택,CSE3204,3
2021,4,2,전자상거래,전공,선택,CSE4301,3
2021,4,1,멀티미디어컴퓨팅,전공,선택,CSE4307,3
2021,3,1,데이터베이스,전공,선택,CSE3207,3
2021,4,1,인공지능,전공,선택,CSE4302,3
2021,3,2,바이오빅데이터,전공,선택,CSE3315,3
2021,4,1,기계학습,전공,선택,CSE4315,3
2021,1,1,크로스오버 1,교양,필수,GEB1112,2
2021,1,1,크로스오버 3,교양,필수,GEB1114,2
2021,1,2,크로스오버 3,교양,필수,GEB1114,2
2021,1,1,문제해결(PBL)을 위한 글쓰기,교양,필수,GEB1126,3
2021,1,2,의사소통영어,교양,필수,GEB1107,3
2021,1,2,미래사회와 소프트웨어,교양,필수,GEB1142,3
2021,1,1,프로네시스 세미나,교양,필수,GEB1116,2
2021,1,1,일반수학1,교양,필수,MTH1001,3
2021,1,2,일반수학2,교양,필수,MTH1002,3
2021,2,1,통계학,교양,필수,ACE2104,3
2021,1,2,이산수학,교양,필수,ACE1312,3
2021,1,1,객체지향프로그래밍1,전공,필수,CSE1101,3
2021,1,2,객체지향프로그래밍2,전공,필수,CSE1103,3
2021,1,1,컴퓨터공학입문,전공,필수,CSE1112,2
2021,1,2,논리회로,전공,필수,CSE2101,3
2021,2,1,자료구조,전공,필수,CSE2102,4
2021,4,2,컴퓨터공학 종합설계,전공,필수,CSE4205,3
2020,1,1,객체지향프로그래밍1,전공,필수,CSE1101,3
2020,1,1,컴퓨터공학입문 및 실습,전공,필수,CSE1102,3
2020,1,2,객체지향프로그래밍2,전공,필수,CSE1103,3
2020,2,2,논리회로,전공,필수,CSE2101,3
2020,2,2,자료구조,전공,필수,CSE2112,4
2020,1,1,창의적컴퓨터공학설계,전공,선택,CSE1105,3
2020,2,1,인터넷프로그래밍,전공,선택,CSE2104,3
2020,2,1,어셈블리어,전공,선택,CSE2103,3
2020,2,2,컴퓨터기반선형대수,전공,선택,CSE2105,3
2020,2,1,자바기반응용프로그래밍,전공,선택,CSE2107,3
2020,3,1,수치프로그래밍,전공,선택,CSE3101,3
2020,3,1,시스템분석,전공,선택,CSE3308,3
2020,3,1,문제해결기법,전공,선택,CSE3309,4
2020,3,1,오퍼레이팅시스템,전공,선택,CSE3206,3
2020,3,1,시스템프로그래밍,전공,선택,CSE3209,3
2020,3,1,컴퓨터구조론,전공,선택,CSE3203,3
2020,4,1,컴퓨터 네트워크,전공,선택,CSE4202,3
2020,4,1,알고리즘,전공,선택,CSE4204,3
2020,4,2,소프트웨어공학,전공,선택,CSE4201,3
2020,4,2,컴퓨터보안,전공,선택,CSE4308,3
2020,4,1,컴퓨터공학종합설계,전공,필수,CSE4205,3
2020,3,2,오토마타및지능컴퓨팅,전공,선택,CSE3208,3
